geoid,State,age,season,MMWR Year/Week,Deaths from influenza
State,Missouri,All,2009-10,201020,0
State,Georgia,All,2009-10,201032,0
State,Georgia,All,2009-10,200948,0
State,Oklahoma,All,2009-10,200943,0
State,Louisiana,All,2009-10,201026,0
State,Oregon,All,2009-10,201024,0
Region,NA,All,2009-10,201011,0
State,Hawaii,All,2009-10,201011,0
State,Indiana,All,2009-10,201032,0
State,Utah,All,2009-10,201011,0
Region,NA,All,2009-10,201024,2
State,South Dakota,All,2009-10,201039,0
Region,NA,All,2009-10,201014,0
State,Nebraska,All,2009-10,201003,0
Region,NA,All,2009-10,200940,8
State,Delaware,All,2009-10,201029,0
State,Washington,All,2009-10,200947,0
Region,NA,All,2009-10,201012,10
National,NA,18-64 years,2009-10,201029,3
State,Arkansas,All,2009-10,201004,0
State,Colorado,All,2009-10,200946,0
State,Pennsylvania,All,2009-10,201020,0
State,Alaska,All,2009-10,201023,0
National,NA,18-64 years,2009-10,201035,0
State,Alabama,All,2009-10,201001,0
State,Kansas,All,2009-10,201020,0
State,District of Columbia,All,2009-10,200946,0
Region,NA,All,2009-10,201025,0
State,South Dakota,All,2009-10,200948,0
State,Arkansas,All,2009-10,200940,0
State,Idaho,All,2009-10,201006,0
State,Missouri,All,2009-10,201005,0
State,Michigan,All,2009-10,201005,0
State,Montana,All,2009-10,200941,0
Region,NA,All,2009-10,200950,11
State,Georgia,All,2009-10,201026,0
State,Colorado,All,2009-10,200947,0
State,Nevada,All,2009-10,201021,0
State,Missouri,All,2009-10,200948,0
Region,NA,All,2009-10,201034,0
State,Tennessee,All,2009-10,201028,0
State,Ohio,All,2009-10,201022,0
State,Idaho,All,2009-10,201016,0
State,Tennessee,All,2009-10,201017,0
State,Illinois,All,2009-10,201034,0
State,North Dakota,All,2009-10,201015,0
State,South Carolina,All,2009-10,200952,0
Region,NA,All,2009-10,200947,16
State,District of Columbia,All,2009-10,201029,0
State,District of Columbia,All,2009-10,201005,0
State,Oklahoma,All,2009-10,201022,0
State,Montana,All,2009-10,201015,0
Region,NA,All,2009-10,200947,8
State,Kansas,All,2009-10,200946,0
State,Pennsylvania,All,2009-10,200945,0
Region,NA,All,2009-10,201030,0
State,Michigan,All,2009-10,201024,0
State,Hawaii,All,2009-10,200946,0
State,Colorado,All,2009-10,200949,0
State,South Carolina,All,2009-10,201037,0
State,Georgia,All,2009-10,200942,0
National,NA,All,2009-10,201027,3
Region,NA,All,2009-10,200950,5
State,Vermont,All,2009-10,201009,0
National,NA,0-17 years,2009-10,201006,1
State,Maryland,All,2009-10,201010,0
State,Delaware,All,2009-10,200949,0
State,Michigan,All,2009-10,201012,0
State,New York City,All,2009-10,200944,0
Region,NA,All,2009-10,200950,4
State,Maryland,All,2009-10,200942,0
State,Minnesota,All,2009-10,200943,0
State,Missouri,All,2009-10,200943,0
State,Maine,All,2009-10,200951,0
State,South Dakota,All,2009-10,201015,0
Region,NA,All,2009-10,201034,0
Region,NA,All,2009-10,201022,0
State,New Mexico,All,2009-10,201027,0
State,Ohio,All,2009-10,201030,0
State,Arkansas,All,2009-10,201031,0
State,Illinois,All,2009-10,200944,0
Region,NA,All,2009-10,201015,3
State,Florida,All,2009-10,201005,0
State,District of Columbia,All,2009-10,200944,0
State,Oregon,All,2009-10,201008,0
